Strike,Type,OI,Volume
4810.0,Put,0.0,0.0
4695.0,Put,6.0,3.0
4590.0,Call,7.0,0.0
4805.0,Put,0.0,0.0
4845.0,Put,1.0,1.0
4505.0,Call,0.0,0.0
4560.0,Call,0.0,0.0
4560.0,Put,6.0,4.0
4800.0,Put,9.0,1.0
4715.0,Put,13.0,17.0
4550.0,Call,3.0,0.0
4875.0,Call,14.0,10.0
4810.0,Call,26.0,8.0
4890.0,Call,5.0,6.0
4540.0,Call,0.0,0.0
4655.0,Put,5.0,4.0
4710.0,Call,8.0,2.0
4535.0,Put,4.0,5.0
4680.0,Put,70.0,181.0
4450.0,Call,0.0,0.0
4475.0,Call,0.0,0.0
4650.0,Put,75.0,107.0
4745.0,Call,21.0,15.0
4720.0,Call,19.0,34.0
4740.0,Put,10.0,5.0
4595.0,Put,28.0,1.0
4635.0,Call,0.0,0.0
4625.0,Call,14.0,0.0
4710.0,Put,10.0,11.0
4660.0,Put,40.0,80.0
4730.0,Put,72.0,30.0
4885.0,Call,1.0,2.0
4850.0,Call,33.0,29.0
4590.0,Put,6.0,1.0
4595.0,Call,14.0,1.0
4675.0,Put,35.0,24.0
4720.0,Put,38.0,30.0
4685.0,Call,2.0,0.0
4765.0,Put,0.0,0.0
4500.0,Put,67.0,13.0
4550.0,Put,23.0,12.0
4575.0,Put,9.0,9.0
4705.0,Put,25.0,34.0
4735.0,Put,7.0,28.0
4625.0,Put,14.0,6.0
4530.0,Call,0.0,0.0
4605.0,Put,0.0,0.0
4485.0,Call,0.0,0.0
4555.0,Call,0.0,0.0
4525.0,Put,31.0,8.0
4820.0,Put,2.0,0.0
4570.0,Call,89.0,0.0
4535.0,Call,2.0,0.0
4600.0,Call,70.0,1.0
4585.0,Put,12.0,8.0
4610.0,Call,1.0,0.0
4875.0,Put,0.0,0.0
4545.0,Call,0.0,0.0
4775.0,Put,1.0,0.0
4750.0,Call,174.0,152.0
4760.0,Call,24.0,9.0
4530.0,Put,6.0,0.0
4520.0,Put,8.0,3.0
4490.0,Call,0.0,0.0
4705.0,Call,8.0,7.0
4620.0,Put,8.0,1.0
4870.0,Put,2.0,0.0
4855.0,Call,11.0,14.0
4905.0,Put,0.0,0.0
4510.0,Call,0.0,0.0
4780.0,Call,8.0,9.0
4785.0,Put,0.0,0.0
4700.0,Put,132.0,87.0
4650.0,Call,34.0,4.0
4730.0,Call,53.0,68.0
4555.0,Put,3.0,2.0
4750.0,Put,138.0,38.0
4670.0,Put,55.0,62.0
4645.0,Put,2.0,2.0
4900.0,Put,1.0,1.0
4745.0,Put,5.0,5.0
4895.0,Call,8.0,0.0
4860.0,Put,0.0,0.0
4905.0,Call,5.0,1.0
4585.0,Call,1.0,0.0
4825.0,Call,166.0,73.0
4565.0,Call,2.0,0.0
4575.0,Call,1.0,0.0
4495.0,Call,0.0,0.0
4665.0,Put,4.0,2.0
4505.0,Put,2.0,1.0
4885.0,Put,0.0,0.0
4865.0,Put,0.0,0.0
4675.0,Call,3.0,2.0
4570.0,Put,6.0,3.0
4670.0,Call,41.0,37.0
4755.0,Call,24.0,28.0
4660.0,Call,6.0,1.0
4740.0,Call,14.0,25.0
4600.0,Put,98.0,63.0
4450.0,Put,149.0,4.0
4520.0,Call,1.0,0.0
4770.0,Put,3.0,0.0
4580.0,Put,10.0,3.0
4785.0,Call,2.0,1.0
4725.0,Put,52.0,77.0
4525.0,Call,0.0,0.0
4840.0,Call,6.0,6.0
4815.0,Put,0.0,0.0
4690.0,Call,6.0,1.0
4830.0,Put,0.0,0.0
4645.0,Call,2.0,0.0
4735.0,Call,8.0,8.0
4540.0,Put,10.0,1.0
4630.0,Put,11.0,13.0
4655.0,Call,7.0,5.0
4635.0,Put,10.0,11.0
4495.0,Put,3.0,0.0
4845.0,Call,4.0,4.0
4825.0,Put,0.0,0.0
4790.0,Call,7.0,5.0
4830.0,Call,7.0,8.0
4615.0,Call,0.0,0.0
4800.0,Call,185.0,56.0
4815.0,Call,8.0,7.0
4630.0,Call,2.0,0.0
4725.0,Call,78.0,47.0
4865.0,Call,3.0,2.0
4755.0,Put,5.0,12.0
4900.0,Call,30.0,7.0
4850.0,Put,2.0,2.0
4880.0,Call,16.0,11.0
4805.0,Call,3.0,1.0
4860.0,Call,13.0,2.0
4895.0,Put,0.0,0.0
4790.0,Put,0.0,0.0
4890.0,Put,0.0,0.0
4855.0,Put,0.0,0.0
4475.0,Put,22.0,1.0
4640.0,Put,2.0,1.0
4880.0,Put,0.0,0.0
4870.0,Call,6.0,8.0
4840.0,Put,0.0,0.0
4500.0,Call,2.0,0.0
4835.0,Put,1.0,0.0
4835.0,Call,26.0,6.0
4510.0,Put,25.0,0.0
4795.0,Put,0.0,0.0
4485.0,Put,20.0,1.0
4465.0,Call,0.0,0.0
4615.0,Put,22.0,11.0
4515.0,Call,0.0,0.0
4515.0,Put,4.0,1.0
4565.0,Put,12.0,0.0
4695.0,Call,4.0,2.0
4640.0,Call,62.0,0.0
4715.0,Call,26.0,0.0
4780.0,Put,0.0,0.0
4470.0,Call,0.0,0.0
4445.0,Put,0.0,0.0
4690.0,Put,107.0,77.0
4770.0,Call,68.0,54.0
4580.0,Call,1.0,0.0
4605.0,Call,0.0,0.0
4455.0,Call,0.0,0.0
4445.0,Call,0.0,0.0
4700.0,Call,212.0,10.0
4665.0,Call,0.0,0.0
4760.0,Put,1.0,0.0
4680.0,Call,12.0,10.0
4820.0,Call,17.0,5.0
4610.0,Put,3.0,4.0
4765.0,Call,5.0,1.0
4775.0,Call,56.0,55.0
4490.0,Put,10.0,1.0
4685.0,Put,10.0,21.0
4460.0,Call,0.0,0.0
4465.0,Put,1.0,0.0
4460.0,Put,10.0,0.0
4480.0,Put,2.0,1.0
4480.0,Call,0.0,0.0
4470.0,Put,1.0,0.0
4455.0,Put,2.0,0.0
4795.0,Call,112.0,14.0
4620.0,Call,8.0,1.0
4545.0,Put,5.0,0.0
